City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
615,Puntarenas,CR,85.44,overcast clouds,9.9763,-84.8384,Aquamarina
621,Inirida,CO,84.51,broken clouds,3.8653,-67.9239,Residencias El Turista del Guainia
622,Palora,EC,78.91,overcast clouds,-1.7,-77.9333,Hotel Sol De Oriente
625,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Dena Hotel
629,Saravena,CO,87.89,broken clouds,6.9538,-71.8752,Sandra
635,Alta Floresta,BR,75.79,overcast clouds,-9.8756,-56.0861,Villas Hotel
638,La Asuncion,VE,83.93,clear sky,11.0333,-63.8628,Hotel La Ciudad
640,Loandjili,CG,77.59,scattered clouds,-4.7561,11.8578,Le Raphia Guest House
642,Sao Jose Da Coroa Grande,BR,80.89,few clouds,-8.8978,-35.1478,Hotel do Sol
648,Tete,MZ,73.49,light rain,-16.1564,33.5867,Zambezi Hotel
652,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,Ibis Hotel
657,Luis Correia,BR,75.2,overcast clouds,-2.8792,-41.6669,Hotel Amaro
659,Santa Vitoria Do Palmar,BR,72.86,clear sky,-33.5189,-53.3681,Hotel Brasil
668,Metapan,SV,88.36,scattered clouds,14.3333,-89.45,Hostal Villa Blanca
673,Rosario Oeste,BR,85.26,broken clouds,-14.8361,-56.4275,Hotel
676,Mabaruma,GY,77.38,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
681,Quelimane,MZ,75.15,broken clouds,-17.8786,36.8883,Mabassa
685,Batticaloa,LK,73.58,overcast clouds,7.7102,81.6924,Lake View Hotel
689,Corn Island,NI,80.62,overcast clouds,12.1694,-83.0418,Sunrise Hotel
696,Puerto Lempira,HN,81.19,light rain,15.2667,-83.7667,Hotel Samaritano
698,Jaffna,LK,77.54,overcast clouds,9.6685,80.0074,Three Star Hotel
