City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
108,Matay,EG,28.419,30.7792,56.64,65,80,9.13,broken clouds
109,East London,ZA,-33.0153,27.9116,73.47,85,0,14.2,clear sky
110,Concepcion,CL,-36.827,-73.0498,66.0,68,40,12.66,scattered clouds
111,Qaanaaq,GL,77.484,-69.3632,-18.78,66,0,7.18,clear sky
112,Luanda,AO,-8.8368,13.2343,76.39,79,100,11.61,overcast clouds
113,Touros,BR,-5.1989,-35.4608,81.19,69,3,10.71,clear sky
114,Impfondo,CG,1.6381,18.0667,75.25,67,60,3.22,broken clouds
115,Caravelas,BR,-17.7125,-39.2481,73.4,93,100,10.58,heavy intensity rain
116,Dzhubga,RU,44.3211,38.7039,45.55,66,0,5.61,clear sky
117,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,19.57,few clouds
118,San Juan,AR,-31.5375,-68.5364,94.75,23,0,4.05,clear sky
119,Clyde River,CA,70.4692,-68.5914,-16.37,83,20,5.75,few clouds
120,Dingle,PH,10.9995,122.6711,75.25,94,80,6.73,broken clouds
121,Birao,CF,10.2849,22.7882,74.32,19,100,6.31,overcast clouds
122,Visby,SE,57.6409,18.296,38.05,100,40,6.91,scattered clouds
123,Necochea,AR,-38.5473,-58.7368,90.19,32,100,8.25,overcast clouds
124,Belmonte,BR,-15.8631,-38.8828,77.4,89,100,6.67,light rain
125,Ilulissat,GL,69.2167,-51.1,8.62,47,40,1.14,scattered clouds
126,Jardim,BR,-21.4803,-56.1381,93.0,29,5,3.65,clear sky
127,Uinskoye,RU,56.8817,56.5813,22.19,93,100,15.57,light snow
128,Awjilah,LY,29.1081,21.2869,58.03,50,100,5.26,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,81.36,70,10,15.1,clear sky
130,Montijo,PT,38.7067,-8.9739,64.58,89,75,5.75,broken clouds
131,Uvinza,TZ,-5.1036,30.3911,66.49,94,100,2.15,light rain
132,Conchagua,SV,13.3078,-87.8647,87.44,38,49,3.53,scattered clouds
133,Makat,KZ,47.6469,53.3463,24.66,77,6,11.03,clear sky
134,Teya,RU,60.3778,92.6267,-6.36,91,97,8.93,overcast clouds
135,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,6.91,scattered clouds
136,Aden,YE,12.7794,45.0367,77.56,71,40,14.99,scattered clouds
137,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.99,79,95,6.31,heavy intensity rain
138,Tromso,NO,69.6496,18.957,28.42,80,100,14.97,snow
139,Marawi,PH,7.9986,124.2928,68.61,95,67,1.86,light rain
140,Iqaluit,CA,63.7506,-68.5145,6.53,84,75,3.44,light snow
141,Bandarbeyla,SO,9.4942,50.8122,77.09,78,29,15.88,scattered clouds
142,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,20,5.75,few clouds
143,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,0,6.91,clear sky
144,Coihaique,CL,-45.5752,-72.0662,52.41,62,100,9.22,light rain
145,Gigante,CO,2.3868,-75.5453,84.27,54,48,3.74,scattered clouds
146,Baglung,NP,28.2719,83.5898,49.91,39,0,6.04,clear sky
147,Nadym,RU,65.5333,72.5167,-8.25,89,46,12.55,scattered clouds
148,Tucuma,BR,-0.1833,-50.05,79.93,83,81,7.07,light rain
149,Pangody,RU,65.85,74.4859,-11.78,91,5,11.45,clear sky
150,Tazovskiy,RU,67.4667,78.7,-9.13,92,82,10.85,broken clouds
151,Mahebourg,MU,-20.4081,57.7,75.25,74,100,9.19,overcast clouds
152,Pangnirtung,CA,66.1451,-65.7125,0.45,82,97,6.26,overcast clouds
153,Narsimhapur,IN,22.95,79.2,62.74,53,0,4.36,clear sky
154,Asind,IN,25.7333,74.3333,54.37,57,0,3.56,clear sky
155,Narragansett,US,41.4501,-71.4495,43.86,78,100,20.71,light rain
156,Muisne,EC,0.6,-80.0333,77.68,79,74,9.75,broken clouds
157,Kutum,SD,14.2,24.6667,65.5,34,76,12.82,broken clouds
158,Guanhaes,BR,-18.775,-42.9325,69.71,93,65,5.3,broken clouds
159,Grenville,GD,12.1167,-61.6167,84.25,77,0,16.49,clear sky
160,Luau,AO,-10.7073,22.2247,64.06,97,100,2.01,light rain
161,Audru,EE,58.4086,24.3739,37.96,100,100,12.66,mist
162,Komatipoort,ZA,-25.4332,31.9548,68.05,74,0,0.81,clear sky
163,Saint George,US,37.1041,-113.5841,55.63,39,0,1.01,clear sky
164,Moroni,KM,-11.7022,43.2551,78.93,78,99,2.01,overcast clouds
165,Tulsipur,NP,28.131,82.2973,51.26,33,0,5.64,clear sky
166,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.1,92,100,0.81,overcast clouds
167,Ghanzi,BW,-21.5667,21.7833,79.72,34,0,14.83,clear sky
168,Laguna,US,38.421,-121.4238,48.06,87,100,5.75,mist
169,Salta,AR,-24.7859,-65.4117,92.57,31,40,10.0,scattered clouds
170,Maarianhamina,AX,60.0973,19.9348,39.06,93,100,4.61,overcast clouds
171,Kajaani,FI,64.2273,27.7285,30.25,100,100,4.61,light snow
172,Kaspiyskiy,RU,45.3929,47.3707,38.08,94,91,11.5,overcast clouds
173,Jurado,CO,7.1053,-77.7641,81.37,81,69,5.68,light rain
174,Ancud,CL,-41.8697,-73.8203,58.24,56,6,11.92,clear sky
175,Codrington,AU,-38.2667,141.9667,57.04,94,6,4.47,clear sky
176,Begun,IN,24.9833,75.0,57.78,59,0,2.8,clear sky
177,Alibag,IN,18.6411,72.8792,77.07,65,0,3.15,clear sky
178,Kuryk,KZ,43.2,51.65,35.78,48,99,17.11,overcast clouds
179,Naantali,FI,60.4674,22.0243,40.06,100,100,6.91,overcast clouds
180,Margate,GB,51.3813,1.3862,51.12,91,88,1.99,overcast clouds
181,Lebu,CL,-37.6167,-73.65,62.8,63,62,11.52,broken clouds
182,Atar,MR,20.5169,-13.0499,69.67,19,0,8.59,clear sky
183,Acurenam,GQ,1.0322,10.6488,68.02,97,69,3.83,light rain
184,Elliot,ZA,-31.3333,27.85,65.52,58,34,8.43,scattered clouds
185,Boende,CD,-0.2167,20.8667,71.15,95,92,1.99,light rain
186,Cururupu,BR,-1.8283,-44.8683,80.22,79,84,6.04,broken clouds
187,Conde,BR,-7.2597,-34.9075,80.06,78,20,11.5,few clouds
188,Luderitz,NA,-26.6481,15.1594,65.95,88,1,9.15,clear sky
189,Uribia,CO,11.7139,-72.266,86.4,52,5,20.07,clear sky
190,Svetlyy,RU,54.675,20.1347,39.25,98,100,11.79,overcast clouds
191,Diapaga,BF,12.0708,1.7889,73.49,19,100,7.61,overcast clouds
192,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,86,100,14.16,overcast clouds
193,Iralaya,HN,15.0,-83.2333,81.39,71,29,9.57,light rain
194,Tunceli,TR,39.1083,39.5471,41.29,64,9,4.0,clear sky
195,Lagoa,PT,39.05,-27.9833,59.31,72,96,26.46,overcast clouds
196,Strezhevoy,RU,60.7333,77.5889,-17.0,94,51,7.85,broken clouds
197,Mayahi,NE,13.9553,7.6712,63.27,26,33,11.72,scattered clouds
198,Ushtobe,KZ,45.2514,77.9838,6.82,88,47,4.29,scattered clouds
199,Ballina,AU,-28.8667,153.5667,67.01,90,86,6.6,overcast clouds
200,Ribeira Brava,PT,32.65,-17.0667,67.71,90,22,2.37,few clouds
201,Suamico,US,44.6319,-88.0393,9.68,83,100,17.27,light snow
202,Roald,NO,62.5833,6.1333,38.75,87,75,8.05,snow
203,Damietta,EG,31.4165,31.8133,62.69,73,85,9.8,light rain
204,Monzon,ES,41.9108,0.1941,54.82,80,76,3.29,broken clouds
205,Tutoia,BR,-2.7619,-42.2744,80.2,81,34,11.48,scattered clouds
206,Aragats,AM,40.4889,44.3528,17.17,71,4,2.28,clear sky
207,Mancio Lima,BR,-7.6142,-72.8958,84.25,73,100,2.04,overcast clouds
208,Okakarara,NA,-20.5833,17.4333,77.65,43,88,3.02,overcast clouds
209,Requena,ES,39.4883,-1.1004,53.8,88,33,8.21,scattered clouds
210,Kribi,CM,2.95,9.9167,79.05,80,24,7.85,few clouds
211,Olafsvik,IS,64.8945,-23.7142,28.81,63,59,17.36,broken clouds
212,Bereda,ES,43.2686,-7.5406,59.41,100,100,10.67,overcast clouds
213,Parabel,RU,58.6978,81.4825,-23.48,99,32,5.66,scattered clouds
214,Maniitsoq,GL,65.4167,-52.9,17.04,66,17,4.81,few clouds
215,Harper,LR,4.375,-7.7169,79.5,78,5,7.25,clear sky
216,Lerwick,GB,60.1545,-1.1494,40.05,61,72,19.53,broken clouds
217,Edd,ER,13.9297,41.6925,81.3,63,12,20.09,few clouds
218,Niquero,CU,20.0431,-77.5828,82.36,57,6,4.18,clear sky
219,Galdar,ES,28.147,-15.6502,66.7,67,4,7.67,clear sky
220,Sur,OM,22.5667,59.5289,71.04,47,85,2.77,overcast clouds
221,Kolpashevo,RU,58.3131,82.9089,-19.71,100,64,4.32,broken clouds
222,Talnakh,RU,69.4865,88.3972,-5.8,94,100,19.24,overcast clouds
223,Suffolk,US,40.8668,-72.7996,47.16,90,100,11.5,mist
224,Alenquer,BR,-1.9417,-54.7383,77.61,89,94,2.06,moderate rain
225,Klaksvik,FO,62.2266,-6.589,32.92,57,100,21.61,overcast clouds
226,Rusape,ZW,-18.5278,32.1284,59.2,92,100,8.68,overcast clouds
227,Eyemouth,GB,55.8713,-2.0901,40.23,83,66,8.12,broken clouds
228,Parry Sound,CA,45.3501,-80.033,33.85,75,100,14.34,overcast clouds
229,Thompson,CA,55.7435,-97.8558,-5.64,71,75,14.97,light snow
230,Lodja,CD,-3.4833,23.4333,70.14,96,100,0.85,overcast clouds
231,Marovoay,MG,-16.1,46.6333,77.97,83,100,3.87,overcast clouds
232,Guhagar,IN,17.4842,73.1929,71.6,65,3,3.18,clear sky
233,Padilla,CO,3.2204,-76.3139,85.57,59,71,2.15,broken clouds
234,Talcahuano,CL,-36.7167,-73.1167,65.88,68,40,12.66,scattered clouds
235,Caacupe,PY,-25.3833,-57.15,94.08,22,10,6.02,clear sky
236,Ipixuna,BR,-1.7625,-48.8043,80.78,76,61,4.76,heavy intensity rain
237,Zlobin,HR,45.2924,14.6541,42.58,94,100,3.44,overcast clouds
238,Surt,LY,31.2089,16.5887,64.11,64,9,14.79,clear sky
239,Natal,BR,-5.795,-35.2094,84.85,74,40,16.11,scattered clouds
240,General Roca,AR,-39.0333,-67.5833,89.62,36,100,32.17,overcast clouds
241,Ciudad Bolivar,VE,8.1222,-63.5497,86.86,45,100,9.4,overcast clouds
242,Ilhabela,BR,-23.7781,-45.3581,71.49,82,95,6.8,overcast clouds
243,Qaqortoq,GL,60.7167,-46.0333,10.38,64,0,8.43,clear sky
244,Vardo,NO,70.3705,31.1107,28.38,86,75,24.16,broken clouds
245,Hofn,IS,64.2539,-15.2082,24.67,65,1,18.43,clear sky
246,Oranjestad,AW,12.524,-70.027,84.15,76,40,24.16,scattered clouds
247,Port Hawkesbury,CA,45.6169,-61.3485,31.8,75,75,8.01,broken clouds
248,Richards Bay,ZA,-28.783,32.0377,68.86,72,0,13.4,clear sky
249,Witu,KE,-2.3889,40.4382,78.96,89,47,5.77,scattered clouds
250,Westport,US,41.1415,-73.3579,47.01,84,100,16.11,overcast clouds
251,Lima,PE,-12.0432,-77.0282,70.05,78,100,17.27,overcast clouds
252,Vieques,PR,18.425,-65.8329,84.85,65,40,14.97,scattered clouds
253,Waslala,NI,13.2333,-85.3833,82.6,51,28,6.11,scattered clouds
254,Nisia Floresta,BR,-6.0911,-35.2086,85.01,64,22,9.86,few clouds
255,Tretten,NO,61.3142,10.3007,27.18,92,100,5.37,overcast clouds
256,Asyut,EG,27.181,31.1837,58.8,54,66,8.68,broken clouds
257,Mollendo,PE,-17.0231,-72.0147,72.55,74,96,9.93,overcast clouds
258,Sorland,NO,67.667,12.6934,37.26,56,92,31.14,overcast clouds
259,Boa Vista,BR,2.8197,-60.6733,89.58,43,40,8.05,scattered clouds
260,Taltal,CL,-25.4,-70.4833,71.56,64,21,7.38,few clouds
261,Kibungo,RW,-2.1597,30.5427,68.92,91,90,0.63,overcast clouds
262,Borba,BR,-4.3878,-59.5939,80.49,81,97,0.96,overcast clouds
263,Diamantino,BR,-14.4086,-56.4461,84.67,62,55,5.08,broken clouds
264,Bozoum,CF,6.3193,16.3799,71.58,28,99,5.3,overcast clouds
265,Seljord,NO,59.4894,8.634,22.53,91,35,5.32,scattered clouds
266,Moose Factory,CA,51.2585,-80.6094,8.6,85,100,11.5,light snow
267,Santona,ES,43.4439,-3.4576,63.59,85,100,5.64,overcast clouds
268,Yarmouth,US,41.7057,-70.2286,45.09,81,100,8.05,overcast clouds
269,Shiraz,IR,29.6036,52.5388,36.84,70,1,0.0,clear sky
270,Catamarca,AR,-28.4696,-65.7852,99.77,26,35,5.99,scattered clouds
271,Palm City,US,27.1678,-80.2662,82.09,74,75,11.5,broken clouds
272,Ratholo,BW,-22.7245,27.572,66.18,65,0,7.18,clear sky
273,Tacuarembo,UY,-31.7333,-55.9833,96.28,19,8,10.56,clear sky
274,Virginia Beach,US,36.8529,-75.978,58.05,96,100,0.0,heavy intensity rain
275,Afsin,TR,38.2477,36.914,35.31,74,3,3.02,clear sky
276,Scarborough,GB,54.2797,-0.4044,43.34,90,100,1.99,overcast clouds
277,Maragogi,BR,-9.0122,-35.2225,80.87,75,0,15.1,clear sky
278,Brigantine,US,39.4101,-74.3646,51.04,94,100,9.22,mist
279,Den Helder,NL,52.9599,4.7593,45.99,99,100,5.99,mist
280,San-Pedro,CI,4.7485,-6.6363,79.5,80,28,8.01,scattered clouds
281,Orizona,BR,-17.0314,-48.2958,77.99,62,54,8.05,broken clouds
282,Aswan,EG,24.0934,32.907,60.12,47,12,12.39,few clouds
283,Urzhum,RU,57.1141,49.9996,33.13,98,100,14.05,overcast clouds
